GEOID,median_household_income,rent_burden_35_plus_share,renter_occupied_units,total_housing_units,unemployment_rate_proxy,median_gross_rent,poverty.rate,depression_among_adults,fair_poor_health_status,frequent_mental_distress,high_eviction_risk
01033020600,40321,0.0482233502538071,1182,2734,0.0042985541227041,807,16.84,22.6,22.0,16.4,0
01033020703,71992,0.0088050314465408,795,2923,0.0269220094365806,856,2.76,24.3,20.5,17.2,0
01033020704,68173,0.2515337423312883,163,2011,0.0273760330578512,1115,9.82,23.7,19.2,16.1,0
01033020801,63456,0.2795031055900621,161,2338,0.0659287776708373,689,15.33,23.3,21.8,15.9,0
01033020802,48167,0.4067796610169492,236,1773,0.0305899490167516,547,20.58,25.6,28.1,18.9,0
01033020901,61760,0.0496453900709219,423,1796,0.0127051349920592,734,15.33,26.4,25.2,18.4,0
01033020902,60081,0.1210191082802547,157,1520,0.0536374845869297,432,13.33,25.1,21.7,16.9,0
01033021000,50060,0.1165501165501165,429,2076,0.0715474209650582,771,15.03,25.4,28.2,18.0,0
01035960200,44318,0.0,75,871,0.0293637846655791,692,12.6,21.1,29.6,17.3,1
01035960300,50556,0.0,124,937,0.0365058670143415,702,20.31,25.1,32.9,19.1,0
01035960400,42659,0.3390557939914163,233,1572,0.0514970059880239,742,30.2,22.4,32.3,18.4,0
01035960500,39291,0.2564102564102564,195,929,0.1018181818181818,833,33.49,21.5,28.9,17.7,0
01035960600,37922,0.108,500,2142,0.0223559759243336,686,41.63,23.3,36.7,19.5,0
01037961000,40295,0.0454545454545454,352,1732,0.017163504968383,578,18.16,20.8,29.9,17.9,0
01037961100,63060,0.0300429184549356,233,1998,0.0079207920792079,736,14.56,25.2,26.1,18.2,0
01037961200,54453,0.0303030303030303,165,2315,0.1032303370786516,-666666666,11.74,22.4,26.4,16.2,0
01039961600,66000,0.3092783505154639,291,2688,0.016965584100824,814,10.43,24.4,23.6,17.0,0
01039961700,47500,0.0701754385964912,171,1805,0.0791208791208791,715,16.67,24.5,27.4,18.3,0
01039961800,29821,0.4383561643835616,438,1579,0.0418326693227091,599,23.14,24.8,32.6,19.0,0
01039961900,59063,0.0120481927710843,166,1097,0.1725978647686832,756,12.99,24.4,25.6,17.6,1
01039962000,43500,0.1772727272727272,660,1864,0.0320182961692395,726,18.46,23.6,25.7,18.0,0
01039962100,46442,0.2061855670103092,194,745,0.1666666666666666,594,28.84,23.8,27.4,19.1,0
01039962300,60000,0.2014388489208633,139,1384,0.0119047619047619,771,5.14,24.6,21.9,17.1,0
01039962400,55128,0.4739336492890995,211,1672,0.0123617436564736,713,10.37,24.2,25.1,17.2,0
01039962500,39399,0.2777777777777778,144,692,0.0,685,9.61,26.1,35.9,19.9,0
01039962600,48472,0.21,200,705,0.1417525773195876,715,50.0,26.2,28.7,20.2,1
01039962700,38049,0.088235294117647,306,866,0.0784313725490196,609,24.9,23.7,32.8,20.3,0
01039962800,41278,0.175,80,850,0.036144578313253,616,9.39,25.6,25.7,18.5,0
01039962900,73305,0.0288461538461538,104,931,0.0211416490486257,816,10.64,23.6,18.9,16.0,0
01039963000,41106,0.109375,448,1766,0.0527881040892193,687,15.0,24.8,29.4,18.6,1
01041963400,44306,0.2848101265822785,158,1010,0.0632458233890214,687,10.07,23.8,30.7,19.2,0
01041963500,54526,0.0,50,883,0.1666666666666666,875,15.11,25.1,25.7,18.5,0
01041963600,53417,0.0416666666666666,192,1410,0.0019230769230769,669,10.68,23.5,26.0,17.4,0
01041963700,49404,0.1633165829145728,398,1536,0.0461114934618031,596,19.59,23.3,25.6,17.5,0
01041963800,43106,0.0601503759398496,266,928,0.0285714285714285,535,7.14,23.8,25.4,17.7,0
01041963900,26750,0.6325301204819277,166,786,0.04,579,17.41,24.6,28.0,18.1,0
01043964100,45610,0.2225352112676056,355,2755,0.0692204301075268,846,10.94,27.0,26.6,19.1,0
01043964300,62625,0.1508620689655172,232,2076,0.0187557182067703,773,14.78,25.5,22.7,17.6,0
01043964400,72880,0.0,327,1704,0.0276308054085831,679,10.64,25.3,21.3,17.4,0
01043964500,61699,0.1176470588235294,221,1892,0.0216589861751152,838,9.79,26.2,22.0,18.1,0
01043964600,65862,0.0340557275541795,323,1675,0.0167405219103889,718,10.41,25.3,19.9,17.5,0
01043964700,63125,0.0722610722610722,429,2169,0.0510314875135722,951,8.76,26.0,22.0,18.4,0
01043964800,44906,0.1906443071491615,1133,2389,0.0395952485701715,733,21.15,25.7,22.9,17.9,0
01043965100,69786,0.0126582278481012,316,1827,0.0094073377234242,749,15.59,25.1,21.6,17.2,0
01043965200,68889,0.16,100,1123,0.059380378657487,815,7.73,26.3,23.2,18.3,0
01043965300,50192,0.2936046511627907,344,1964,0.0738980121002592,843,16.32,26.7,25.8,18.9,0
01043965401,30882,0.4147812971342383,663,1547,0.0584518167456556,855,16.84,26.9,32.2,19.7,0
01043965402,50495,0.1381733021077283,427,1992,0.1316025067144136,830,16.21,26.5,26.5,19.3,0
01043965600,67679,0.0,37,1927,0.0255924170616113,954,8.94,24.1,22.5,15.7,0
01043965700,48605,0.1428571428571428,91,1338,0.0773067331670823,998,18.2,25.7,24.2,17.6,0
01045020000,72681,0.0536820371644872,1453,1550,0.1608695652173913,1347,9.49,27.7,14.8,20.6,0
01045020100,57852,0.5227272727272727,220,1950,0.037037037037037,718,14.12,25.8,27.1,18.4,0
01045020200,44958,0.0,196,1091,0.0111234705228031,770,5.7,26.6,27.3,18.6,0
01045020300,55105,0.1544715447154471,246,1052,0.1941287878787878,650,6.23,25.2,25.5,17.9,0
01045020400,58462,0.3157894736842105,57,1013,0.0646387832699619,875,3.8,22.3,22.0,14.7,0
01045020500,38594,0.2297734627831715,309,850,0.0739644970414201,614,20.26,24.7,27.3,18.2,1
01045020700,24662,0.4794156706507304,753,1569,0.1958855098389982,683,30.99,25.5,39.9,22.6,0
01045020801,56989,0.1261950286806883,523,1377,0.1021416803953871,934,8.31,24.8,29.8,19.2,1
01045020802,56625,0.1770538243626062,706,2024,0.07828418230563,752,14.68,24.6,28.8,18.3,0
01045021101,67930,0.1010309278350515,485,2124,0.0865561694290976,1113,14.75,23.5,21.5,17.5,0
01045021102,39698,0.1065662002152852,929,2336,0.0416204217536071,732,22.11,24.7,26.7,19.0,0
01045021200,57719,0.0766961651917404,339,1353,0.075,671,9.69,24.4,24.9,17.7,0
01045021300,63085,0.0981308411214953,428,2086,0.0254545454545454,669,12.26,24.7,22.1,16.9,0
01045021400,41086,0.1214351425942962,1087,2454,0.0578580221583914,760,18.89,26.9,32.3,21.7,1
01047956201,50083,0.2385786802030456,197,897,0.0838222967309304,783,33.04,22.4,30.9,18.1,1
01047956202,54179,0.0526315789473684,171,1044,0.0334572490706319,864,8.84,24.5,32.2,19.5,0
01047956300,27449,0.319634703196347,876,1625,0.1632536973833902,534,35.87,20.1,32.7,19.4,0
01047956400,20255,0.2958904109589041,730,1465,0.0944881889763779,717,49.09,19.5,38.4,20.1,0
01047956500,16424,0.4653614457831325,664,1728,0.2800528401585205,625,42.31,20.4,44.5,21.9,1
01047956600,29991,0.4081196581196581,468,1527,0.0847784200385356,698,37.13,20.2,34.9,19.1,1
01047956701,47647,0.0633245382585752,379,992,0.0473372781065088,1101,11.65,20.1,23.7,16.2,0
01047956702,47421,0.1357466063348416,221,807,0.2155440414507772,1108,27.0,20.0,26.0,16.6,1
01047956800,37750,0.0822179732313575,523,1101,0.0,800,21.49,18.8,26.5,16.5,0
01047956900,30743,0.1161290322580645,155,1140,0.1304347826086956,346,37.99,20.7,42.2,20.0,0
01047957000,32500,0.3529411764705882,51,597,0.2022792022792023,738,19.86,20.6,33.8,18.0,0
01047957100,48214,0.0344827586206896,203,889,0.0411311053984575,1103,12.47,20.4,38.6,18.6,0
01047957200,45667,0.1851851851851851,81,689,0.037037037037037,751,34.43,16.3,29.6,16.1,0
01049960200,44861,0.1,340,1497,0.066621803499327,713,15.21,28.3,30.3,20.2,0
01049960500,43792,0.1797945205479452,584,2544,0.0472301136363636,719,8.5,27.9,29.4,20.3,0
01049960800,39741,0.1540284360189573,422,1832,0.0261984392419175,527,22.42,26.5,35.5,20.3,0
01049960900,40521,0.0474683544303797,632,1847,0.0202501488981536,649,27.31,26.8,30.1,20.1,0
01049961000,56465,0.0283505154639175,388,1887,0.0835665733706517,817,15.84,27.2,29.7,19.4,0
01049961100,36841,0.2629629629629629,540,1358,0.0242424242424242,736,10.24,24.9,24.1,17.4,0
01049961200,72750,0.0,76,964,0.069238377843719,604,3.79,24.8,19.4,16.1,1
01049961300,32463,0.4219910846953937,673,2757,0.0373673036093418,498,10.64,27.3,34.1,20.7,0
01049961400,43794,0.1594827586206896,232,2346,0.0189208128941836,670,16.07,26.3,29.5,18.2,0
01051030200,90324,0.151639344262295,244,2102,0.0,974,9.9,23.6,23.4,17.0,0
01051030300,69583,0.3434782608695652,230,2823,0.0310008857395925,768,2.77,21.7,20.2,14.1,0
01051030500,68895,0.2594594594594595,370,2283,0.0535289452815226,942,10.11,23.6,21.7,17.3,0
01051030600,73199,0.0563725490196078,408,2723,0.0524764150943396,711,12.26,24.3,25.3,19.2,0
01051030701,121167,0.4387096774193548,155,2910,0.0157124408092983,874,4.37,22.0,16.5,15.2,0
01051030702,106667,0.5247524752475248,101,1674,0.0239766081871345,1525,6.4,21.4,17.1,14.1,1
01051030901,88858,0.4127659574468085,235,2574,0.0428776978417266,1342,3.11,22.5,17.8,16.9,1
